 D ,, min(s) ,,max(s),,D,,min(s),,max(s)
343,,5,,1019,,427,,257,,767
345,,11,,1013,,429,,263,,761
347,,17,,1007,,431,,269,,755
349,,23,,1001,,433,,275,,749
351,,29,,995,,435,,281,,743
353,,35,,989,,437,,287,,737
355,,41,,983,,439,,293,,731
357,,47,,977,,441,,299,,725
359,,53,,971,,443,,305,,719
361,,59,,965,,445,,311,,713
363,,65,,959,,447,,317,,707
365,,71,,953,,449,,323,,701
367,,77,,947,,451,,329,,695
369,,83,,941,,453,,335,,689
371,,89,,935,,455,,341,,683
373,,95,,929,,457,,347,,677
375,,101,,923,,459,,353,,671
377,,107,,917,,461,,359,,665
379,,113,,911,,463,,365,,659
381,,119,,905,,465,,371,,653
383,,125,,899,,467,,377,,647
385,,131,,893,,469,,383,,641
387,,137,,887,,471,,389,,635
389,,143,,881,,473,,395,,629
391,,149,,875,,475,,401,,623
393,,155,,869,,477,,407,,617
395,,161,,863,,479,,413,,611
397,,167,,857,,481,,419,,605
399,,173,,851,,483,,425,,599
401,,179,,845,,485,,431,,593
403,,185,,839,,487,,437,,587
405,,191,,833,,489,,443,,581
407,,197,,827,,491,,449,,575
409,,203,,821,,493,,455,,569
411,,209,,815,,495,,461,,563
413,,215,,809,,497,,467,,557
415,,221,,803,,499,,473,,551
417,,227,,797,,501,,479,,545
419,,233,,791,,503,,485,,539
421,,239,,785,,505,,491,,533
423,,245,,779,,507,,497,,527
425,,251,,773,,509,,503,,521
,,,,,,511,,509,,515
